Date,Frankfurt_CDD,Madrid_CDD,Helsinki_CDD,Gas_Price_EUR,Carbon_Price,Frankfurt_CO2_Intensity,Madrid_CO2_Intensity,Helsinki_CO2_Intensity,Frankfurt_Power_Price_EUR,Madrid_Power_Price_EUR,Helsinki_Power_Price_EUR,Frankfurt_Grid_Stress
2023-03-01,0.0,9.2,0.0,2.4077826427376787,33.122484041296914,386.57,139.55,140.35,19.871014792193538,15.354875066695007,11.741963286296182,11.140636533757913
2023-04-01,0.0,91.7,0.0,2.197263152975785,33.91576124492445,386.32,137.48,92.48,19.756913884313487,15.266706183333147,11.674540022548879,11.273359949965228
2023-05-01,18.400000000000002,67.9,0.0,2.2993181943893433,32.06599669022994,334.53,150.37,59.56,19.16753857135773,5.0,11.32627279216593,14.449458104263652
2023-06-01,148.1,211.5,21.4,2.4746190366290866,32.71672375996908,361.18,188.63,47.27,19.839520334970388,5.0,11.723352925209774,40.672326646305265
2023-07-01,126.5,393.09999999999997,0.6999999999999993,2.636550009250641,33.845387649536136,313.94,175.26,45.03,20.692380586147316,5.0,12.227315800905231,36.771891299486164
2023-08-01,90.9,402.9,6.100000000000001,2.645130426987358,33.492037234099016,376.53,178.25,67.36,20.555783322375756,5.0,12.14659923594931,29.550176383723386
2023-09-01,87.2,104.60000000000001,0.0,2.6956499934196474,32.455706882476804,404.67,197.52,44.14,20.21094101381302,15.617545328855513,11.942828780889512,28.524537061452865
2023-10-01,10.2,91.0,0.0,3.1491818102923306,32.17447714372115,385.55,171.15,64.94,21.084969925880433,16.292931306362153,12.45930041074753,13.26693404826251
2023-11-01,0.0,0.0,0.0,3.0499999956651167,31.927794501894997,395.76,120.8,109.31,35.75822957129706,16.040450123274997,12.266226564857352,11.103338348401058
2023-12-01,0.0,0.0,0.0,2.5388499975204466,31.019395732879637,375.81,126.02,122.14,34.23400411701203,14.862639544963836,11.365547887325288,10.575243718624115
2024-01-01,0.0,0.0,0.0,2.7149999936421714,29.899740128290084,360.59,136.96,123.18,34.12888564246042,14.78141163281032,36.30343242509024,10.32742203530811
2024-02-01,0.0,0.0,0.0,1.7955000042915343,27.259846687316895,334.52,104.73,101.67,30.94443255186081,12.320697880983351,34.42171014428139,9.075704008340834
2024-03-01,0.0,13.899999999999999,0.0,1.747299998998642,27.505542278289795,361.1,103.35,118.11,15.946498600244524,12.322294372916222,9.422930991053583,9.125312682986259
2024-04-01,7.700000000000003,35.39999999999999,0.0,1.7912272702563892,28.895383054559883,297.55,101.92,100.83,16.654668538570405,12.869516597986221,9.841395045518876,11.10422855149616
2024-05-01,13.400000000000002,108.4,8.399999999999999,2.4179999990896746,31.252879662947223,304.52,110.19,73.35,19.070867049694066,5.0,11.269148711182856,13.264863898429002
2024-06-01,53.0,196.2,10.7,2.809578958310579,30.011219626978825,321.54,111.87,53.38,19.38601034415396,5.0,11.45536974881825,21.00815536724894
2024-07-01,112.19999999999999,407.7,9.2,2.208681805567308,29.345002434470437,317.59,130.12,52.81,17.77090104341507,5.0,10.500986980199814,32.34784163312479
2024-08-01,158.5,408.7,6.199999999999999,2.0856363664973867,30.157631960782137,339.3,139.36,57.59,17.857758069038393,5.0,10.552311586249958,41.790107771483335
2024-09-01,58.7,131.5,0.6000000000000014,2.409250020980835,28.875326442718507,327.67,131.23,60.98,18.00549368095398,13.91333602619171,10.639609902381897,21.60722294330597
2024-10-01,0.0,25.000000000000004,0.0,2.5769565209098486,28.66687127818232,398.78,127.0,60.56,18.28272770840189,14.12756232012873,10.803430009510206,9.88853964390962
2024-11-01,0.0,0.0,0.0,2.982000005245209,28.916351890563966,428.19,172.32,80.97,34.283594843387604,14.900959651708604,11.394851498365403,10.165905569791793
2024-12-01,0.0,0.0,0.0,3.406619049253918,27.683985937209357,370.84,180.56,88.97,34.675515720730736,15.203807602382842,11.626441107704526,10.008505305789766
2025-01-01,0.0,0.0,0.0,3.7213809490203857,29.1514479637146,380.32,126.53,99.28,36.01367519187927,16.23783992099762,37.4171717042923,10.606124863624572
2025-02-01,0.0,0.0,0.0,3.7409473720349764,28.845912331028988,439.78,137.33,99.34,35.92228564412971,16.16722072500932,37.36316878971301,10.524247385326184
2025-03-01,0.0,0.0,0.0,4.137476239885602,27.860459554763068,405.47,101.78,103.79,21.361049931844075,16.506265856424967,12.622438596089681,10.426875986371723
2025-04-01,8.3,6.099999999999998,0.0,3.4257618813287642,26.773773738316127,349.1,116.95,86.88,19.31713658378238,14.926878269286382,11.414671617689587,11.40501306215922
2025-05-01,39.900000000000006,102.4,0.0,3.4608095600491477,28.55283628191267,262.95,130.39,64.41,20.1770289961497,5.0,11.922789861361187,18.276255664598374
2025-06-01,147.3,346.2,0.3000000000000007,3.643649995326996,29.51004056930542,242.85,156.79,52.54,21.000447840213777,5.0,12.409355541944505,40.13483716845513
2025-07-01,124.10000000000001,371.4,64.7,3.306130429972773,29.55476951599121,332.88,132.97,49.3,20.277585532976236,5.0,11.982209633122322,35.33949606978375
2025-08-01,132.9,405.5,6.0,2.888523817062378,29.969825926281157,295.18,138.94,50.09,19.541475805100944,5.0,11.547235703014195,37.01520968641554
2025-09-01,22.500000000000007,186.4,0.0,3.0097618897755942,31.93296223595029,295.35,138.42,52.82,20.671979541324436,15.97380237284161,12.215260638055348,15.584769615672885
2025-10-01,0.0,59.6,0.0,3.3532608695652173,32.8852194081182,315.22,176.38,60.27,21.84667045261549,16.88151807702106,12.909396176545517,11.54219625721807
2025-11-01,0.0,0.5,0.0,4.46726309625726,33.2464081613641,395.69,142.31,75.4,39.45639840276618,18.898126038501136,14.451508147089104,12.20755399653786
2025-12-01,0.0,0.0,0.0,4.394227277148854,34.5375449440696,356.53,162.71,69.31,39.8638197851181,19.212951652136713,14.692257145751606,12.558377121795306
2026-01-01,0.0,0.0,0.0,4.267950010299683,35.23099994659424,0.0,0.0,0.0,39.89112999916077,19.234054999351503,39.708394999504094,12.703274989128111
2026-02-01,0.0,0.0,0.0,3.1292631375162223,31.024210678903682,0.0,0.0,0.0,35.53503160125331,15.86797896460483,37.13433685528605,10.871894772429215
2026-03-01,0.0,0.0,0.0,3.0393636551770298,28.885181773792613,0.0,0.0,0.0,19.396080021858218,14.98788001689044,11.461320012916218,10.185236359726298
2026-04-01,0.6000000000000014,73.1,0.0,2.679380950473604,30.63433347429548,0.0,0.0,0.0,19.373744819731943,14.97062099706559,11.44812193893251,10.649990517525447
2026-05-01,72.5,124.80000000000001,0.0,2.936900019645691,32.17690019607544,0.0,0.0,0.0,20.619016129493712,5.0,12.183964076519011,25.621520068645474
